表1-2-2 高級中等學校畢業生就業情況—按設立別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,女,"16,833",74, -, -,2, -, -, -,7, -,8,1, -, -, -,4,44, -, -,3,5,100.00,0.44, -, -,0.01, -, -, -,0.04, -,0.05,0.01, -, -, -,0.02,0.26, -, -,0.02,0.03,
,縣市立,,計,"40,753",274,5, -,10,4, -,8,13,3,31,3, -,1,8,2,99,5,3,25,54,100.00,0.67,0.01, -,0.02,0.01, -,0.02,0.03,0.01,0.08,0.01, -,0.00,0.02,0.00,0.24,0.01,0.01,0.06,0.13,
,,,男,"19,983",164,5, -,9,3, -,8,9,3,16,2, -, -,2,2,50,1,3,16,35,100.00,0.82,0.03, -,0.05,0.02, -,0.04,0.05,0.02,0.08,0.01, -, -,0.01,0.01,0.25,0.01,0.02,0.08,0.18,
,,,女,"20,770",110, -, -,1,1, -, -,4, -,15,1, -,1,6, -,49,4, -,9,19,100.00,0.53, -, -,0.00,0.00, -, -,0.02, -,0.07,0.00, -,0.00,0.03, -,0.24,0.02, -,0.04,0.09,
,私立,,計,"28,518",170,6,1,14,1, -,7,6,2,25,2, -, -, -,6,37,1, -,22,40,100.00,0.60,0.02,0.00,0.05,0.00, -,0.02,0.02,0.01,0.09,0.01, -, -, -,0.02,0.13,0.00, -,0.08,0.14,
,,,男,"14,248",111,2,1,14,1, -,7,3,1,9,2, -, -, -,2,24, -, -,17,28,100.00,0.78,0.01,0.01,0.10,0.01, -,0.05,0.02,0.01,0.06,0.01, -, -, -,0.01,0.17, -, -,0.12,0.20,
,,,女,"14,270",59,4, -, -, -, -, -,3,1,16, -, -, -, -,4,13,1, -,5,12,100.00,0.41,0.03, -, -, -, -, -,0.02,0.01,0.11, -, -, -, -,0.03,0.09,0.01, -,0.04,0.08,
職業科,,,計,"113,779","14,346",348,57,"1,716",125,21,411,"1,060",343,"4,017",193,54,15,"1,188",403,901,45,78,605,"2,766",100.00,12.61,0.31,0.05,1.51,0.11,0.02,0.36,0.93,0.30,3.53,0.17,0.05,0.01,1.04,0.35,0.79,0.04,0.07,0.53,2.43,
,,,男,"61,649","8,513",255,47,"1,344",102,14,376,534,292,"2,162",116,34,8,626,239,642,13,22,289,"1,398",100.00,13.81,0.41,0.08,2.18,0.17,0.02,0.61,0.87,0.47,3.51,0.19,0.06,0.01,1.02,0.39,1.04,0.02,0.04,0.47,2.27,
,,,女,"52,130","5,833",93,10,372,23,7,35,526,51,"1,855",77,20,7,562,164,259,32,56,316,"1,368",100.00,11.19,0.18,0.02,0.71,0.04,0.01,0.07,1.01,0.10,3.56,0.15,0.04,0.01,1.08,0.31,0.50,0.06,0.11,0.61,2.62,
,國立,,計,"30,637","2,268",107,14,303,30,5,72,160,36,450,22,5,1,102,119,382,10,17,65,368,100.00,7.40,0.35,0.05,0.99,0.10,0.02,0.24,0.52,0.12,1.47,0.07,0.02,0.00,0.33,0.39,1.25,0.03,0.06,0.21,1.20,
,,,男,"17,529","1,447",78,8,234,27,1,67,78,30,201,13,1,1,78,74,293,8,6,29,220,100.00,8.25,0.44,0.05,1.33,0.15,0.01,0.38,0.44,0.17,1.15,0.07,0.01,0.01,0.44,0.42,1.67,0.05,0.03,0.17,1.26,
,,,女,"13,108",821,29,6,69,3,4,5,82,6,249,9,4, -,24,45,89,2,11,36,148,100.00,6.26,0.22,0.05,0.53,0.02,0.03,0.04,0.63,0.05,1.90,0.07,0.03, -,0.18,0.34,0.68,0.02,0.08,0.27,1.13,
,縣市立,,計,"10,972",333,2, -,33,1, -,8,13,9,81, -,5, -,31,27,6, -,4,12,101,100.00,3.03,0.02, -,0.30,0.01, -,0.07,0.12,0.08,0.74, -,0.05, -,0.28,0.25,0.05, -,0.04,0.11,0.92,
,,,男,"6,915",224,2, -,24,1, -,8,10,6,47, -,4, -,26,19,4, -,3,6,64,100.00,3.24,0.03, -,0.35,0.01, -,0.12,0.14,0.09,0.68, -,0.06, -,0.38,0.27,0.06, -,0.04,0.09,0.93,
,,,女,"4,057",109, -, -,9, -, -, -,3,3,34, -,1, -,5,8,2, -,1,6,37,100.00,2.69, -, -,0.22, -, -, -,0.07,0.07,0.84, -,0.02, -,0.12,0.20,0.05, -,0.02,0.15,0.91,
,私立,,計,"72,170","11,745",239,43,"1,380",94,16,331,887,298,"3,486",171,44,14,"1,055",257,513,35,57,528,"2,297",100.00,16.27,0.33,0.06,1.91,0.13,0.02,0.46,1.23,0.41,4.83,0.24,0.06,0.02,1.46,0.36,0.71,0.05,0.08,0.73,3.18,
,,,男,"37,205","6,842",175,39,"1,086",74,13,301,446,256,"1,914",103,29,7,522,146,345,5,13,254,"1,114",100.00,18.39,0.47,0.10,2.92,0.20,0.03,0.81,1.20,0.69,5.14,0.28,0.08,0.02,1.40,0.39,0.93,0.01,0.03,0.68,2.99,
,,,女,"34,965","4,903",64,4,294,20,3,30,441,42,"1,572",68,15,7,533,111,168,30,44,274,"1,183",100.00,14.02,0.18,0.01,0.84,0.06,0.01,0.09,1.26,0.12,4.50,0.19,0.04,0.02,1.52,0.32,0.48,0.09,0.13,0.78,3.38,
綜合高中,,,計,"25,420","1,055",15,2,87,11,1,33,54,18,240,12,1,1,22,38,256,6,3,64,191,100.00,4.15,0.06,0.01,0.34,0.04,0.00,0.13,0.21,0.07,0.94,0.05,0.00,0.00,0.09,0.15,1.01,0.02,0.01,0.25,0.75,
,,,男,"11,646",599,12,2,59,9,1,31,22,16,112,6, -, -,13,16,169, -, -,24,107,100.00,5.14,0.10,0.02,0.51,0.08,0.01,0.27,0.19,0.14,0.96,0.05, -, -,0.11,0.14,1.45, -, -,0.21,0.92,
,,,女,"13,774",456,3, -,28,2, -,2,32,2,128,6,1,1,9,22,87,6,3,40,84,100.00,3.31,0.02, -,0.20,0.01, -,0.01,0.23,0.01,0.93,0.04,0.01,0.01,0.07,0.16,0.63,0.04,0.02,0.29,0.61,
,國立,,計,"10,728",402,8,2,27,5, -,15,28,3,67,2, -, -,6,11,116,1,2,26,83,100.00,3.75,0.07,0.02,0.25,0.05, -,0.14,0.26,0.03,0.62,0.02, -, -,0.06,0.10,1.08,0.01,0.02,0.24,0.77,
,,,男,"4,895",222,6,2,17,4, -,13,11,3,32,1, -, -,4,3,77, -, -,9,40,100.00,4.54,0.12,0.04,0.35,0.08, -,0.27,0.22,0.06,0.65,0.02, -, -,0.08,0.06,1.57, -, -,0.18,0.82,
,,,女,"5,833",180,2, -,10,1, -,2,17, -,35,1, -, -,2,8,39,1,2,17,43,100.00,3.09,0.03, -,0.17,0.02, -,0.03,0.29, -,0.60,0.02, -, -,0.03,0.14,0.67,0.02,0.03,0.29,0.74,
,縣市立,,計,"3,757",52, -, -,3, -, -,4,1, -,8, -, -, -, -, -,14, -, -, -,22,100.00,1.38, -, -,0.08, -, -,0.11,0.03, -,0.21, -, -, -, -, -,0.37, -, -, -,0.59,
,,,男,"1,829",34, -, -,2, -, -,4,1, -,6, -, -, -, -, -,7, -, -, -,14,100.00,1.86, -, -,0.11, -, -,0.22,0.05, -,0.33, -, -, -, -, -,0.38, -, -, -,0.77,
,,,女,"1,928",18, -, -,1, -, -, -, -, -,2, -, -, -, -, -,7, -, -, -,8,100.00,0.93, -, -,0.05, -, -, -, -, -,0.10, -, -, -, -, -,0.36, -, -, -,0.41,
,私立,,計,"10,935",601,7, -,57,6,1,14,25,15,165,10,1,1,16,27,126,5,1,38,86,100.00,5.50,0.06, -,0.52,0.05,0.01,0.13,0.23,0.14,1.51,0.09,0.01,0.01,0.15,0.25,1.15,0.05,0.01,0.35,0.79,
,,,男,"4,922",343,6, -,40,5,1,14,10,13,74,5, -, -,9,13,85, -, -,15,53,100.00,6.97,0.12, -,0.81,0.10,0.02,0.28,0.20,0.26,1.50,0.10, -, -,0.18,0.26,1.73, -, -,0.30,1.08,
,,,女,"6,013",258,1, -,17,1, -, -,15,2,91,5,1,1,7,14,41,5,1,23,33,100.00,4.29,0.02, -,0.28,0.02, -, -,0.25,0.03,1.51,0.08,0.02,0.02,0.12,0.23,0.68,0.08,0.02,0.38,0.55,
實用技能學程,,,計,"12,582","4,855",141,33,642,67,9,172,380,162,"1,300",83,21,6,492,117,177,9,22,202,820,100.00,38.59,1.12,0.26,5.10,0.53,0.07,1.37,3.02,1.29,10.33,0.66,0.17,0.05,3.91,0.93,1.41,0.07,0.17,1.61,6.52,
,,,男,"6,945","2,735",125,31,473,59,7,140,198,119,625,48,9,4,240,61,123,2,3,73,395,100.00,39.38,1.80,0.45,6.81,0.85,0.10,2.02,2.85,1.71,9.00,0.69,0.13,0.06,3.46,0.88,1.77,0.03,0.04,1.05,5.69,
,,,女,"5,637","2,120",16,2,169,8,2,32,182,43,675,35,12,2,252,56,54,7,19,129,425,100.00,37.61,0.28,0.04,3.00,0.14,0.04,0.57,3.23,0.76,11.97,0.62,0.21,0.04,4.47,0.99,0.96,0.12,0.34,2.29,7.54,
,國立,,計,"3,480","1,053",64,25,186,27,1,32,74,39,221,12,4,1,83,27,82,4,11,33,127,100.00,30.26,1.84,0.72,5.34,0.78,0.03,0.92,2.13,1.12,6.35,0.34,0.11,0.03,2.39,0.78,2.36,0.11,0.32,0.95,3.65,
,,,男,"1,992",624,57,23,139,24,1,29,39,22,90,9,2, -,52,18,58,1, -,10,50,100.00,31.33,2.86,1.15,6.98,1.20,0.05,1.46,1.96,1.10,4.52,0.45,0.10, -,2.61,0.90,2.91,0.05, -,0.50,2.51,
,,,女,"1,488",429,7,2,47,3, -,3,35,17,131,3,2,1,31,9,24,3,11,23,77,100.00,28.83,0.47,0.13,3.16,0.20, -,0.20,2.35,1.14,8.80,0.20,0.13,0.07,2.08,0.60,1.61,0.20,0.74,1.55,5.17,
,縣市立,,計,394,146, -, -,22,4, -,20,13,2,41,3,2, -,13,5,4, -,1,2,14,100.00,37.06, -, -,5.58,1.02, -,5.08,3.30,0.51,10.41,0.76,0.51, -,3.30,1.27,1.02, -,0.25,0.51,3.55,
,,,男,241,93, -, -,18,3, -,20,4,2,24,2, -, -,6,2,4, -, -, -,8,100.00,38.59, -, -,7.47,1.24, -,8.30,1.66,0.83,9.96,0.83, -, -,2.49,0.83,1.66, -, -, -,3.32,
,,,女,153,53, -, -,4,1, -, -,9, -,17,1,2, -,7,3, -, -,1,2,6,100.00,34.64, -, -,2.61,0.65, -, -,5.88, -,11.11,0.65,1.31, -,4.58,1.96, -, -,0.65,1.31,3.92,
,私立,,計,"8,708","3,656",77,8,434,36,8,120,293,121,"1,038",68,15,5,396,85,91,5,10,167,679,100.00,41.98,0.88,0.09,4.98,0.41,0.09,1.38,3.36,1.39,11.92,0.78,0.17,0.06,4.55,0.98,1.05,0.06,0.11,1.92,7.80,
,,,男,"4,712","2,018",68,8,316,32,6,91,155,95,511,37,7,4,182,41,61,1,3,63,337,100.00,42.83,1.44,0.17,6.71,0.68,0.13,1.93,3.29,2.02,10.84,0.79,0.15,0.08,3.86,0.87,1.29,0.02,0.06,1.34,7.15,
,,,女,"3,996","1,638",9, -,118,4,2,29,138,26,527,31,8,1,214,44,30,4,7,104,342,100.00,40.99,0.23, -,2.95,0.10,0.05,0.73,3.45,0.65,13.19,0.78,0.20,0.03,5.36,1.10,0.75,0.10,0.18,2.60,8.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說明：,,"1. 本表依高中職應屆畢業生升學就業概況調查資料計算。
2. 本表含特教學校附設普通科、實用技能學程及大專校院附設職業類科畢業生資料，不含進修部資料。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
